2026-01-17 08:01:12 EventID=4624 User=ahmed PC=PC01 IP=10.0.0.5 Status=Success
2026-01-17 08:05:44 EventID=4624 User=sara PC=PC02 IP=10.0.0.6 Status=Success
2026-01-17 08:10:21 EventID=4625 User=admin PC=PC01 IP=10.0.0.9 Status=Failure
2026-01-17 08:10:25 EventID=4625 User=admin PC=PC01 IP=10.0.0.9 Status=Failure
2026-01-17 08:10:30 EventID=4625 User=admin PC=PC01 IP=10.0.0.9 Status=Failure
2026-01-17 08:10:35 EventID=4625 User=admin PC=PC01 IP=10.0.0.9 Status=Failure
2026-01-17 08:11:01 EventID=4624 User=admin PC=PC01 IP=10.0.0.9 Status=Success
2026-01-17 09:01:12 EventID=4624 User=employee01 PC=PC03 IP=10.0.0.7 Status=Success
2026-01-17 09:03:18 EventID=4625 User=employee01 PC=PC03 IP=10.0.0.7 Status=Failure
2026-01-17 09:03:22 EventID=4625 User=employee01 PC=PC03 IP=10.0.0.7 Status=Failure
2026-01-17 09:03:26 EventID=4625 User=employee01 PC=PC03 IP=10.0.0.7 Status=Failure
2026-01-17 09:03:30 EventID=4625 User=employee01 PC=PC03 IP=10.0.0.7 Status=Failure
2026-01-17 09:03:34 EventID=4625 User=employee01 PC=PC03 IP=10.0.0.7 Status=Failure
2026-01-17 09:03:40 EventID=4624 User=employee01 PC=PC03 IP=10.0.0.7 Status=Success
2026-01-17 10:01:11 EventID=4624 User=manager PC=PC04 IP=10.0.0.8 Status=Success
2026-01-17 10:15:42 EventID=4624 User=manager PC=PC04 IP=10.0.0.8 Status=Success
2026-01-17 11:00:01 EventID=4625 User=guest PC=PC05 IP=10.0.0.10 Status=Failure
2026-01-17 11:00:05 EventID=4625 User=guest PC=PC05 IP=10.0.0.10 Status=Failure
2026-01-17 11:00:09 EventID=4625 User=guest PC=PC05 IP=10.0.0.10 Status=Failure
2026-01-17 11:00:13 EventID=4625 User=guest PC=PC05 IP=10.0.0.10 Status=Failure
